is_division,cost_codes,,,,,,,,,,
DIV. 31 - Earthwork,314000.S - Shoring,,,,,,,,,,
DIV. 31 - Earthwork,314300.S - Concrete Raising,,,,,,,,,,
DIV. 31 - Earthwork,"316000.S - Piles, Piers and Caissons",,,,,,,,,,
DIV. 32 - Exterior Improve,321216.S - Asphalt Paving,,,,,,,,,,
DIV. 32 - Exterior Improve,321313.S - Concrete Paving,,,,,,,,,,
DIV. 32 - Exterior Improve,321316.S - Decorative Concrete Paving,,,,,,,,,,
DIV. 32 - Exterior Improve,321343.S - Pervious Concrete Paving,,,,,,,,,,
DIV. 32 - Exterior Improve,321400.S - Unit Pavers,,,,,,,,,,
DIV. 32 - Exterior Improve,321613.S - Site Concrete,,,,,,,,,,
DIV. 32 - Exterior Improve,321700.M - Pavement Markings,,,,,,,,,,
DIV. 32 - Exterior Improve,321700.S - Pavement Markings,,,,,,,,,,
DIV. 32 - Exterior Improve,321813.S - Artificial Turf,,,,,,,,,,
DIV. 32 - Exterior Improve,323100.S - Fences and Gates,,,,,,,,,,
DIV. 32 - Exterior Improve,323200.S - Retaining Walls,,,,,,,,,,
DIV. 32 - Exterior Improve,329000.S - Landscaping and Irrigation,,,,,,,,,,
DIV. 33 - Utilities,330000.S - Utilities,,,,,,,,,,
DIV. 50 - Winter Conditions,502000.L - Winter Conditions,,,,,,,,,,
DIV. 50 - Winter Conditions,502000.M - Winter Conditions,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",601000.M - Construction Contingency,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",601005.M - Design Contingency,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",602010.M - Builders Risk Insurance,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",602015.M - Special Insurance,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",602020.M - General Liability Insurance,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",602025.M - Bond,,,,,,,,,,
"DIV. 60 - Contingency, Fee, Insurance",604000.M - Fee,,,,,,,,,,
DIV. 80 - Miscellaneous,800001.M - Miscellaneous 1,,,,,,,,,,
DIV. 80 - Miscellaneous,800001.S - Miscellaneous 1,,,,,,,,,,
DIV. 80 - Miscellaneous,800002.M - Miscellaneous 2,,,,,,,,,,
DIV. 80 - Miscellaneous,800002.S - Miscellaneous 2,,,,,,,,,,
DIV. 80 - Miscellaneous,800003.M - Miscellaneous 3,,,,,,,,,,
DIV. 80 - Miscellaneous,800003.S - Miscellaneous 3,,,,,,,,,,
DIV. 80 - Miscellaneous,800004.M - Miscellaneous 4,,,,,,,,,,
DIV. 80 - Miscellaneous,800004.S - Miscellaneous 4,,,,,,,,,,
DIV. 80 - Miscellaneous,800005.M - Miscellaneous 5,,,,,,,,,,
DIV. 80 - Miscellaneous,800005.S - Miscellaneous 5,,,,,,,,,,
DIV. 80 - Miscellaneous,800006.M - Miscellaneous 6,,,,,,,,,,
DIV. 80 - Miscellaneous,800006.S - Miscellaneous 6,,,,,,,,,,
DIV. 80 - Miscellaneous,800007.M - Miscellaneous 7,,,,,,,,,,
DIV. 80 - Miscellaneous,800007.S - Miscellaneous 7,,,,,,,,,,
